plan_name,bucket
bcbs fl mcr adv node bcbs fl mcr adv,
bcbs fl nwb,
bcbs fl phs,
bcbs fl ppo,
bcbs fl sbn,
beach juvenile correction gvt,
beach pace mcr,
behavioral,
behavioral comm,
behavioral health cenpatico behavioral health,
behavioral health cigna behavioral health,
behavioral health comm,
behavioral health concordia behavioral health,
behavioral health dba carisk partners concordia behavioral health dba carisk partners,
behavioral health healthkidshmo,
behavioral health humana behavioral health,
behavioral health humana behavioral health medicare,
behavioral health magellan behavioral health,
behavioral health mcd,
behavioral health mcr,
behavioral health mgmcd,
behavioral health mgmcr,
behavioral health psych united behavioral health psych,
behavioral health vaccn,
behavioral health vacnn,
behavioral healthykidshmo,
behavioral mgmcd,
behavioral mgmcr,
behavioral_health,
behavioral_health_misc,
behavioral_hmo_pmhp,
behavioral_medicaid,
behavioral_medicare,
behavioral_ppo,
behavioralhealth healthykidshmo,
behavioralhealth mcd,
better_health_healthy_kids,
better_health_medicaid,
bh comm,
bh mcd,
bh mcr,
bh mgmcd,
bhcomm,
big bend fed,
blue_select,
broad network avmed broad network,
broward hospital district southbrowardhospitaldistrictppo,
bselnonpar,
bsl,
bslnon-par,
by sunshine hix ambetter by sunshine hix,
call onecallnonstandard,
call onecallstandard,
call onecallwc,
care charity care,
care concordiabehavioralhealth,
care concordiabehavioralhealthmgdmcare,
care confidentcare,
care district comm,
care hospice of miami dade and the fl keys inc compassionate care hospice of miami dade and the fl keys inc,
care management inc penfieldcaremanagementinc,
care of south florida opus care of south florida,
care partners (fl) all plans,
care plan mcd,
care solutions correct care solutions,
care_plus_ppo_pffs_medicare_,
careplus,
careplus_hmo,
cares comm,
caresourcemgdmcare,
caritas hix,
caritas medicaid amerihealth caritas medicaid,
caritas medicare amerihealth caritas medicare,
caritas mgmcd,
caritas mgmcr,
caritas next exchange amerihealth caritas next exchange,
case agreement single case agreement,
centenehnwellcaremgdmcare,
century health cap new century health cap,
champva node champva,
childrens medical services ped-i-care medicaid fl,
choice network employerschoicenetworkwc,
choice provider network americaschoiceprovidernetworkwc,
choicecare,
christian ppo,
cigna,
cigna - brevard county commissioners,
cigna all,
cigna healthspring mcr adv node cigna healthspring mcr adv,
cigna hmo,
cigna ppo,
cigna ppo / hmo,
cignahealthplanhmo,
cignahealthplanppo,
cignahealthplansurefit,
clear_health_alliance,
clear_health_alliance_medicaid,
co sheriff dept prison,
comfort underwriters pointcomfortunderwriters,
comm,
commercial,
commercial aetna commercial,
commercial cigna commercial,
commercial healthfirst commercial,
commercial hmo,
commercial hmo humana commercial hmo,
commercial humana commercial,
commercial other,
commercial other - outpatient,
commercial ppo,
commercial ppo - inpatient,
commercial ppo choice,
commercial ppo humana commercial ppo,
commercial ppo international,
commercial ppo select network,
commercial prime network products,
commercial prime network products - outpatient,
commercial united commercial,
commppocomplementarynetwork,
commppoprimarynetwork,
community care floridacommunitycaremgdmcaid,
community care floridacommunitycaremgdmcare,
community care healthykids,
community care mcd,
community care medicaid hmo,
community fed,
community mcr,
compensation workers compensation,
compensation workmans compensation,
complementary,
complementarynetwork,
complementaryppo,
complete care magellan complete care,
complete care magellan medicaid fl,
complete care mcd,
complete care mcr,
complete care mgmcr,
consultants international employer direct maritimeconsultantsinternationalemployerdirect,
contra el cancer liga contra el cancer,
corners prison,
corporation workerscomp,
correctional risk services node correctional risk services,
corvel work comp fl,
corvelppo,
corvelwc,
county comm,
county jail prison,
county mh prison,
county monroe county commissioners,
county sb comm,
county schools wc,
county sheriffs office logov,
county_of_volusia,
coventry,
coventryakagenexwc,
cross and blue shield of florida bcbs fl bsl,
cross and blue shield of florida bcbs fl hmo,
cross and blue shield of florida bcbs fl mbn,
cross and blue shield of florida bcbs fl nwb,
cross and blue shield of florida bcbs fl phs,
cross and blue shield of florida bcbs fl ppo,
cross commercial hmo health options,
cross commercial hmo my blue,
cross commercial hmo simply blue,
cross commercial ppo blue select,
cross commercial ppo network blue,
cross commercial ppo ppc phs,
cross medicare hmo,
cruise line disney cruise line,
cruise operator classicacruiseoperator,
definitive care mcr,
definitive care mgmcr,
department of corrections fl doc,
devoted medicare nch devoted medicare med onc,
devoted medicare nch devoted medicare rad onc,
direct comm,
direct healthcare employer direct healthcare,
directions (lucet) comm,
directions (lucet) mcr,
directions behavioral comm,
directions behavioral health commercial new directions behavioral health commercial,
directions behavioral health exchange new directions behavioral health exchange,
directions behavioral health medicare new directions behavioral health medicare,
directions behavioral health new directions behavioral health,
directions behavioral mcr,
directions new directions behavioral,
directions newdirectionsbehavioralcomm,
directions newdirectionsbehavioralhix,
directions newdirectionsbehavioralmgdmcare,
discountppo,
dual_medicare,
edhc,
empower,
energy keys energy services,
engage,
epo,
epo_hmo,
eval services veterans eval services,
evaluation services mcr,
evalutations inc ima evalutations inc,
evernorthbehavioralhealth,
evolutions healthcare,
evolutions work comp fl,
exchange,
exchange aetna exchange,
exchange avmed exchange,
exchange oscar exchange,
exchange uhc exchange,
federal bc federal,
fhcp,
first health plan health first health plan medicare,
first health plan hfhp individual ppo/marketplace,
first health plans (fl) all plans,
first medicare hmo,
fl blue select bcbs fl blue select,
fl medicaid,
fl medicaid fl,
fl medicare bcbs fl medicare,
fl medicare bcbs fl network blue,
fl network blue bcbs fl network blue,
fl sbn bcbs fl sbn,
fl traditional bcbs fl traditional,
flex,
florida blue commercial hmo,
florida blue commercial network blue,
florida blue commercial phs,
florida blue commercial ppo,
florida community care healthykids,
florida community care mgmcd,
florida community care network s fl community care network medicaid fl,
florida community care southfloridacommunitycarehealthkids,
florida community care southfloridacommunitycarepsn,
florida fl medicaid,
florida fl medicaid non-par,
focus,
for health comm,
for health commhmo,
freedom health mcr adv node freedom health mcr adv,
fullyinsured,
fusion payerfusionholdingsppo,
galaxyhealthnetworkwc,
gatedcomm,
gatekeeper aetna gatekeeper,
general hospital westchester general hospital,
geo group thegeogroup,
globalbenefitplan,
globalbenefitplanappendix,
governmental preferredgovernmentalclaimsolution,
group all plans,
group covid19 hrsa uninsured,
group geo group,
group health plan umr chs group health plan umr,
group inc acngroupinc,
gvt,
haven mcr,
health administration veterans health administration,
health administrators floridahealthadministratorsppo,
health aetna,
health aetna better health,
health aetna intl passport,
health aetna medicare,
health aetna nab/first health,
health aetna work comp fl,
health aetna workers comp,
health all plans,
health alliance clear health alliance,
health alliance medicaid hmo,
health ambetter marketplace sunshine state health plan commercial exchange,
health associates mental health associates,
health behavioralhealth,
health bright health,
health care mcr,
health care plan comm,
health care plan fhcp,
health care plan fhcp medicare,
health care plan florida health care plan commercial,
health care plan florida health care plan medicare,
health care plan mcr,
health choice prestige health choice,
health choice prestige kids medicaid fl,
health choice prestige medicaid fl,
health comm,
health commercial ppo,
health contigohealthwcfkathreeriverswc,
health devoted health,
health devoted health medicare hmo,
health dimension,
health dimension international,
health dimension plus,
health dimensionhealthppo,
health dimensionhealthppoclassa,
health dimensionhealthppoclassb,
health dimensionhealthwcppoclassa,
health first health,
health group rockportwc,
health hix,
health imagine health,
health imaginehealth,
health inc corizon health inc,
health inc leon health inc,
health integral health medicaid fl,
health magellan medicaid fl,
health management commercial bright health management commercial,
health management medicare bright health management medicare,
health mcd,
health mcr,
health medicaid fl freedom health medicaid fl,
health medicaid fl sunshine health medicaid fl,
health medicaid hmo,
health medicare bright health medicare,
health medicare hmo,
health medicare hmo freedom health medicare hmo,
health medicare hmo longevity health medicare hmo,
health mgmcd,
health mgmcr,
health network comm,
health network first health,
health nfd comm,
health node ultimate health mcr adv,
health options beaconhealthoptionsbehavioralcommercial,
health options beaconhealthoptionsmgdmcaid,
health options beaconhealthoptionsmgdmcare,
health options beaconhealthstrategies,
health options beaconhealthstrategiesmgdmcaid,
health options beaconhealthstrategiesmgdmcare,
health options comm,
health options mcr,
health options mcr mcr,
health partners mcd,
health plan avmed,
health plan comm,
health plan devotedhealthmgdmcare,
health plan hix,
health plan hmo,
health plan integral health medicaid fl,
health plan longevity health plan,
health plan longevityhealthplan,
health plan mcd,
health plan mcr,
health plan mcrhmo,
health plan medicare hmo,
health plan medicare hmo - outpatient,
health plan solishealthplanmgdmcare,
health plan sunshine health plan medicaid,
health plan ultimate health plan,
health plans healthsun health plans,
health plans leon health plans,
health plans mcr,
health plans medicare solis health plans medicare,
health ppo,
health ppo dimension health ppo,
health ppo prime health ppo,
health prestige medicaid fl,
health services inc prime health,
health services inc prison health services,
health services prime health,
health services primehealthservicesmgdmcare,
health services primehealthserviceswc,
health sheriff comm,
health sheriff workerscomp,
health sherriff comm,
health solis health medicare hmo,
health solutions mcd,
health strategies comm,
health strategies commercial beacon health strategies commercial,
health strategies mcd,
health strategies mcr,
health strategies medicaid beacon health strategies medicaid,
health strategies medicare beacon health strategies medicare,
health wc,
health wc dimension health wc,
health work comp fl prime health work comp fl,
health workerscomp,
health yescare,
health_kids,
health_options,
healthcare alliance fed,
healthcare comm,
healthcare corporation/hospice ppo vitas healthcare corporation/hospice ppo,
healthcare corvel healthcare,
healthcare direct healthcare,
healthcare doctors healthcare medicare hmo,
healthcare doctorshealthcaremgdmcare,
healthcare evolutions encounter ppo,
healthcare evolutions managed care ppo,
healthcare evolutions traditional ppo,
healthcare group workerscomp,
healthcare hospice corporation of fl vitas healthcare hospice corporation of fl,
healthcare hospice vitas healthcare hospice,
healthcare managedcareppo,
healthcare mcr,
healthcare mcrhmo,
healthcare medicaid hmo,
healthcare medicaid hmo simply healthcare medicaid hmo,
healthcare medicaid simply medicaid fl,
healthcare medicare advantage doctors healthcare medicare advantage,
healthcare medicare hmo,
healthcare medicare hmo - outpatient,
healthcare medicare simply healthcare medicare,
healthcare mgmcd,
healthcare mgmcr,
healthcare network starhealthcarenetwork,
healthcare node simply health mcr adv,
healthcare node simply mcr adv,
healthcare of fl vitas,
healthcare of florida positive healthcare of florida,
healthcare of marion county dba kindred hospice odyssey healthcare of marion county dba kindred hospice,
healthcare pffs,
healthcare plan mcr,
healthcare plan simply healthcare medicare,
healthcare plan simply medicaid,
healthcare plans florida healthcare plans bnn,
healthcare plans mgmcd,
healthcare plans mgmcr,
healthcare plus medicare florida healthcare plus medicare,
healthcare positive healthcare medicaid,
healthcare positive healthcare medicaid fl,
healthcare ppo,
healthcare simply medicaid fl,
healthcare solutions national healthcare solutions,
healthcare systems evolutions encounter ppo,
healthcare systems evolutions managed care ppo,
healthcare systems evolutions traditional ppo,
healthcare traditionalppo,
healthease healthease medicaid fl,
healthfirst mcrhmo,
healthfirst prominencehealthfirstmgdmcare,
healthsmartmgdwc,
healthspring cigna healthspring,
healthspring mcr,
healthspring mgmcr,
healthsprings cigna healthsprings,
healthsun medicare rad onc,
healthy horizons medicaid humana healthy horizons medicaid,
healthy_kids,
healthy_kids_medicaid,
healthykids,
"heath services, inc. prime heath services inc",
hix,
hix network avmed hix network,
hixoon,
hmo,
hmo apr drg medicaid hmo apr drg,
hmo apr eapg medicaid hmo apr eapg,
hmo medicare hmo,
hmo/ppo,
hmo/ppo cigna hmo/ppo,
hmo_epo,
hmo_medicaid,
hmo_medicare,
hmo_medicare_,
hmo_pffs_medicare_,
hmo_ppo,
hmo_ppo_medicare,
hmo_ppo_medicare_,
hmo_ppo_pffs_medicare,
hmo_ppo_pffs_medicare_,
hmo_triple_option,
hmofi,
home health care dba opuscare of south florida comprehensive home health care dba opuscare of south florida,
hospice and pallative care of southern florida inc seasons hospice and pallative care of southern florida inc,
hospice and palliative care of southern florida inc seasons hospice and palliative care of southern florida inc,
hospice catholic hospice,
hospice comm,
hospice fed,
hospice federal,
hospice mcrmcd,
hospice seasons hospice,
hospice unit agreement vitas hospice unit agreement,
hospice- miami dade llc bristol hospice- miami dade llc,
hpi employee health plan pmc hpi employee health plans,
hrsa uninsured covid19 hrsa uninsured,
humana,
humana all,
humana choice care,
humana choice care ppo,
humana commercial,
humana humx,
humana mcr adv node humana mcr adv,
humana mcr hmo pos node humana mcr hmo pos,
humana mcr ppo pffs node humana mcr ppo pffs,
humana medicaid fl,
humana medicare,
humanabehavioralhealthcommercialhix,
humanacareplusmgdmcare,
humanahmo,
humanahmomgdmcare,
humanamgdmcaid,
humanamti,
humanamtimgdmcare,
humanappo,
humanappomgdmcare,
imaging streamlineimagingwc,
inc multiplan complementary,
inc naphcare inc,
indemnity,
individual family hix cigna individual family hix,
inn and club evolutions gasparilla inn club,
insurance auto insurance,
insurance co clovermgdmcare,
insurance of florida sdpbc athletic schoolinsuranceoffloridasdpbcathletic,
insurances miscellaneous insurances,
international,
international dimension international,
international dimensions international,
international ingleinternationalincdbaintrepid247,
international ppo aetna international ppo,
international_ppo,
jacksonfirstnetworkoon,
jhsselect,
jhsselecthmo,
kidney mcr,
kidney mgmcr,
kidney of florida medicare,
lifesource,
living systems medicare independent living systems medicare,
llc equianllc,
logov,
ma federal corrections gvt,
magellan medicaid fl,
magellanbehavioral,
magellanbehavioralmgdmcaid,
mailhandlers,
managed care work comp fl usa managed care work comp fl,
managed medicaid molina managed medicaid,
managed networks choicemanagednetworkswcppo,
managedcarehmo,
management barnettmanagementmvpwc,
management network care management network,
management network cmninc,
management systems nch careplus medicare,
management systems nch careplus medicare rad onc,
management systems nch coventry medicare,
management systems nch coventry medicare rad onc,
management systems nch humana medicare,
management systems nch humana medicare rad onc,
management systems nch simply medicare,
management systems nch simply medicare rad onc,
manor care services of fl hcr manor care services of fl,
manor care services of fl ii dba heartland hospice services hcr manor care services of fl ii dba heartland hospice services,
marketplace program exchange molina marketplace program exchange,
mbn,
mcd,
mcr,
mcrhmo,
mcrppo,
mdcselect,
mdcselectoon,
medicaid,
medicaid - $0 allowable,
medicaid amerigroup medicaid fl,
medicaid fl medicaid,
medicaid fl ped-i-care medicaid fl,
medicaid hmo,
medicaid hmo aetna better health medicaid hmo,
medicaid hmo non-contracted medicaid hmo,
medicaid hmo united healthcare medicaid hmo,
medicaid humana medicaid,
medicaid humana medicaid fl,
medicaid non par fl medicaid non-par,
medicaid non-par fl medicaid non-par,
medicaid prestige medicaid fl,
medicaid sunshine medicaid,
medicaid united medicaid,
medicaid wellcare medicaid,
medicaid/cha simply medicaid/cha,
medicaid_behavioral_health,Commercial
medicaid_hmo,Commercial
medical center leon medical center,Commercial
medical management choicemedicalmanagementwc,Commercial
medical management partners texas medical management partners,Commercial
medical orchidmedicalwcsunrisemedicalgroupmidtownimaging,Commercial
medical service mcd,
medicare,Medicare
medicare advantage careplus medicare advantage,Medicare
medicare advantage freedom medicare advantage,Medicare
medicare advantage program molina medicare advantage program,Medicare
medicare aetna medicare,Medicare
medicare avmed medicare,Medicare
medicare careplus humana medicare careplus,Medicare
medicare choice mcrhmo,Medicare
medicare fhcp medicare,Medicare
medicare healthfirst medicare,Medicare
medicare hmo,Medicare
medicare hmo - outpatient,Medicare
medicare hmo humana medicare hmo,Medicare
medicare hmo non-contracted medicare hmo,Medicare
medicare hmo wellcare/staywell medicare hmo,Medicare
medicare humana medicare,Medicare
medicare longevity medicare,Medicare
medicare network avmed medicare network,Medicare
medicare non par node medicare non par,Medicare
medicare ppo,Medicare
medicare ppo humana medicare ppo,Medicare
medicare simply medicare,Medicare
medicare sunshine medicare,Medicare
medicare traditional node medicare traditional,Medicare
medicare united medicare,Medicare
medicare wellcare medicare,Medicare
medicare/advantra aetna medicare/advantra,Medicare
medicare_,Medicare
medicare_behavioral_health,Medicare
medicare_hmo,Medicare
medicare_hmo_,Medicare
medicare_transplant,Medicare
medriskmtiwc,
metracompwc,
mgmcd,
mgmcr,Medicare
mgmcrhmo,Medicare
mgmcrppo,Medicare
mgmcrtier1,Medicare
mgmcrtier2,Medicare
mgmcrtier3,Medicare
molina healthcare fl kidcare,
molina healthcare of fl medicaid,Medicaid
molina medicaid fl,Medicaid
multiplan,Unknown
multiplan complementary,Unknown
multiplan complementary network,Unknown
multiplanwc,Unknown
my_blue,Commercial
myblue,Commercial
myblue hmo hix bc/bs myblue hmo hix,Commercial
narrowindividualexchange,Commercial
narrownetworkindivexchange,Commercial
narrownetworkindividualexchange,Commercial
national advantage program (nap) aetna national advantage program (nap),Commercial
nbn,Commercial
negotiated_dollar,Unknown
neighborly care localgov,Other Government
network association prison,Other Government
network llc jipanetwork,Commercial
network_blue,Commercial
new century mcr,Medicare
newbusinesshmo,Commercial
next comm,Commercial
next ppo,Commercial
nexus_hmo,Commercial
nhp,Commercial
nhp uhc nhp,Commercial
node aetna mcr adv,Medicare
node bcbs fl mcr adv,Medicare
node humana mcr adv,Medicare
node humana mcr hmo pffs,Medicare
node humana mcr ppo,Medicare
node wellcare mcr adv,Medicare
non-contracted commercial non-contracted,Commercial
non-gatekeeper aetna non-gatekeeper,Commercial
nongatedcomm,Commercial
nppnplancareamericawc,Commercial
nwb,Commercial
oap,Commercial
occunet,Commercial
occunet work comp fl,Other Government
occunetwc,Commercial
of central florida mcd,Medicaid
of central florida mcr,Medicare
of fl (health advantage plan) mcr,Medicare
of fl blue select exchange non par bc/bs of fl blue select exchange non par,Commercial
of fl health options hmo bc/bs of fl health options hmo,Commercial
of fl health options medicare bc/bs of fl health options medicare,Medicare
of fl medicare ppo bc/bs of fl medicare ppo,Medicare
of fl miami dade blue select bc/bs of fl miami dade blue select,Commercial
of fl network blue bc/bs of fl network blue,Commercial
of fl phs bc/bs of fl phs,Commercial
of fl ppo bc/bs of fl ppo,Commercial
of fl simplyblue bc/bs of fl simplyblue,Commercial
of florida aetna better health fl healthy kids,Commercial
of florida aetna better health of florida,Commercial
of florida bcbs - blue select,Commercial
of florida bcbs - healthy options,Commercial
of florida bcbs - healthy options medicare adv,Medicare
of florida bcbs - network blue,Commercial
of florida bcbs - phs,Commercial
of florida bcbs - ppo,Commercial
of florida bcbs fl bsl,Commercial
of florida bcbs fl chs employee,Commercial
of florida bcbs fl hmo,Commercial
of florida bcbs fl mbn,Commercial
of florida bcbs fl nwb,Commercial
of florida bcbs fl phs,Commercial
of florida bcbs fl ppo,Commercial
of florida bcbs medicare ppo,Medicare
of florida bcbs network blue,Commercial
of florida bcbs ppo,Commercial
of florida bcbs rehab ppo,Commercial
of florida bcbs traditional,Commercial
of florida bcbs workers compensation,Other Government
of florida exchange united healthcare of florida exchange,Commercial
of florida hmo united healthcare of florida hmo,Commercial
of florida medicare advantage mmm of florida medicare advantage,
of florida medicare advantage united healthcare of florida medicare advantage,
of florida mgmgr,
of florida mmm of fl medicare hmo,
of florida node bcbs fl mcr adv,
of florida ppo united healthcare of florida ppo,
of jacksonville wc,Commercial
of miami behavioral health university of miami behavioral health,Commercial
of north central fl federal,Commercial
of north central fl mcd,
of north central fl mcr,
of nw fl hospice of nw fl,Commercial
of nw florida comm,Commercial
of omaha mutualofomaha,Commercial
of palm beach townofpalmbeach,Commercial
of sheiff highland co gvt,Commercial
of south fl opuscare of south fl,Commercial
of texas (claims only) molinacompletecaremgdmcaid,
of texas (claims only) molinahix,Commercial
of texas (claims only) molinamgdmcaid,
of texas (claims only) molinamgdmcare,
of texas (claims only) molinamgdmcarenarrownetwork,Commercial
of treasure coast comm,Commercial
optimum mcr,
options inc bcbs health options hmo,Commercial
options inc bcbs health options medicare,
options tricare,Other Government
options value options behavioral health,Commercial
optionsppo,Commercial
optum/va,Other Government
oscar,Commercial
oscarhealthplanhix,Commercial
other facility self-pay other facility,Self Pay
other hospice other,Unknown
other medicaid other,Medicaid
other medicare other,Medicare
pace centers florida pace centers,Commercial
pace centers floridapacecentersmgdmcare,Medicare
pace centers pace,Commercial
paf commercial-historical paf,Commercial
palm beaches comm,Commercial
pay - mcd pending 100 percent self pay - mcd pending 100 percent,
pay elective self pay elective,
pay emergent self pay emergent,
pay self pay,
pay/uninsured self pay/uninsured,
pcip geha pcip,Commercial
pffs_medicare,
pffs_medicare_,
pffs_ppo_medicare_,
phcs,
phs,
phs prison,
plan hix oscar health plan hix,Commercial
plus med tourplusmedassistanceppo,
plus medicare hmo,
ppc,Commercial
ppo,Commercial
ppo optionsppo,Commercial
ppo.1,Commercial
ppo/pffs_medicare,
ppo_,Commercial
ppo_epo,Commercial
ppo_medicare,
ppo_medicare_,
ppo_nr,Commercial
pponwb,Commercial
preferred partners haapreferredpartners,Commercial
primary,Commercial
primarynetwork,Commercial
primaryppo,Commercial
prisn,Other Government
prison,Other Government
prison centurion prison,Other Government
psych_hmo,Commercial
psychcare,Commercial
psychiatric_medicaid,
psychiatric_medicare,
purchased care program logov,Commercial
qhp,Commercial
qhp_exchange,Commercial
qhp_exchange_,Commercial
quality care mcd,
radiology adinradiology,Commercial
rivers provider network workerscomp,
sarasota comm,Commercial
sbn,Commercial
seals ifsp eastersealsifsp,Commercial
select,Commercial
select network avmed select network,Commercial
selectppo,Commercial
self_funded,Self Pay
self_funded_hmo,Self Pay
selfpay,Self Pay
senior care align senior care,Commercial
senior care mcr,
senior care mgmcr,
services inc axisservicesinc,Commercial
services network behavioral services network,Commercial
services wc protegrityserviceswc,Commercial
sfl mgmcr,
sheriff's office mcr,
signature administrators (asa) aetna signature administrators (asa),Commercial
simply healthcare fl healthy kids,Commercial
simply healthcare plans,Commercial
simply mcr adv node simply mcr adv,
sinai eldercare pace mount sinai eldercare pace,Commercial
southcare,Commercial
specialty hospital select specialty hospital,Commercial
spreemomti,Commercial
spring health mcr,
state auto insurance state auto insurance fl,
state health plan medicaid sunshine state health plan medicaid,
state health plan medicare sunshine state health plan medicare,
state health plan qhp,
state mcd,
state mcr,
state mgmcd,
state_of_florida,Commercial
street beech street,Commercial
summit heritagesummithealthcareoffloridappo,Commercial
sun health plan mgmcr,
sun health plans health sun health plans,Commercial
sunshinemgdmcaid,
surefit,Commercial
surefit cigna surefit,Commercial
techhealthoptherapywc,Commercial
therapy solutions comm,Commercial
therapy solutions mgmcr,
tierednetwork,Commercial
traditional,Commercial
traditional tricare traditional,
traditionalppo,Commercial
transplant,Commercial
transplants mcr,
treasure coast mgmcd,
treasure coast mgmcr,
tribe of florida seminoletribeofflorida,Commercial
tricare,
tricare node tricare,
tricr,
triwest,
uhc apa,Commercial
uhc kids medicaid fl,Medicaid
uhc medicaid fl,Medicaid
uhc nhp,Commercial
united behavioral,Commercial
united behavioral medicaid,Medicaid
united behavioral medicare,Medicare
united behavioral va ccn node united behavioral va ccn,Commercial
united healthcare,Commercial
united healthcare commercial group 1,Commercial
united healthcare commercial group 2,Commercial
united healthcare florida healthy kids,Commercial
united healthcare medicaid,Medicaid
united healthcare medicare adv,Medicare
united healthcare nhp,Commercial
united medicare hmo,Medicare
united options ppo,Commercial
united optum va ccn,Commercial
united optum va ccn node united optum va ccn,Commercial
unitedbehavioral,Commercial
unitedcommunityplanhealthykids,Commercial
unitedcommunityplanmgdmcaid,Medicaid
unitedexchange,Commercial
unitedmgdmcare,Commercial
unitednonoptions,Commercial
unitedoptions,Commercial
us dept of labor node us dept of labor,Other Government
va ccn fed,Other Government
va choice healthnet va choice,Other Government
va node va,Other Government
vaccn,Other Government
valueoptions,Commercial
wellcare,Commercial
wellcare kids medicaid fl,Medicaid
wellcare mcr adv node wellcare mcr adv,Medicare
wellcare medicaid fl,Medicaid
wellcare medicare adv,Medicare
whole_health,Commercial
work comp fl work comp,Commercial
work comp rockport work comp,Other Government
workers comp aetna workers comp,Other Government
workers comp careworks workers comp,Other Government
workers comp fl work comp,Other Government
workers compensation fl work comp,Other Government
workers compensation fl workers compensation,Other Government
workers health plan nationalworkershealthplan,Other Government
