plan_name,bucket,specification
ESTHI STUDY [50002401],Commercial,Other Commercial
ESURANCE AUTO [75000901],Unknown,Unknown
Eval Services Veterans Eval Services,Government,VA
eval services veterans eval services,Government,VA
evaluation services mcr,Government,Medicare
evalutations inc ima evalutations inc,Commercial,Other Commercial
evernorthbehavioralhealth,Commercial,Cigna
evolutions healthcare,Commercial,Evolutions
EVOLUTIONS HEALTHCARE SYSTEMS [10026601],Commercial,Evolutions
evolutions work comp fl,Government,Worker's Comp
Exchange,Commercial,United Health Care
exchange,Commercial,United Health Care
exchange aetna exchange,Commercial,Aetna
exchange avmed exchange,Commercial,Avmed
exchange oscar exchange,Commercial,Oscar
exchange uhc exchange,Commercial,United Health Care
FARM BUREAU HEALTH PLANS [10033201],Commercial,Farm Bureau
FB PATIENT ENDOWMENT [50001906],Commercial,Farm Bureau
federal bc federal,Commercial,Blue Cross Blue Shield
FEDERAL LIFE [10036201],Commercial,Federal Life
fhcp,Commercial,Other Commercial
FHK,Commercial,Other Commercial
FIDELIS CARE [45014201],Commercial,Fidelis
First Commercial - Outpatient,Commercial,Other Commercial
FIRST HEALTH [10026101],Commercial,First Health
First Health Aetna First Health,Commercial,Aetna
FIRST HEALTH AUTO [75001201],Unknown,Unknown
first health plan health first health plan medicare,Government,Medicare
first health plan hfhp individual ppo/marketplace,Commercial,First Health
first health plans (fl) all plans,Commercial,First Health
First Medicare Advantage - Outpatient,Government,Medicare
First Medicare HMO,Government,Medicare
first medicare hmo,Government,Medicare
fl blue select bcbs fl blue select,Commercial,Blue Cross Blue Shield
fl medicaid,Government,Medicaid
fl medicaid fl,Government,Medicaid
fl medicare bcbs fl medicare,Government,Medicare
fl medicare bcbs fl network blue,Government,Medicare
fl network blue bcbs fl network blue,Commercial,Blue Cross Blue Shield
fl sbn bcbs fl sbn,Commercial,Blue Cross Blue Shield
fl traditional bcbs fl traditional,Commercial,Blue Cross Blue Shield
flex,Unknown,Unknown
florida blue commercial hmo,Commercial,Blue Cross Blue Shield
florida blue commercial network blue,Commercial,Blue Cross Blue Shield
florida blue commercial phs,Commercial,Blue Cross Blue Shield
florida blue commercial ppo,Commercial,Blue Cross Blue Shield
FLORIDA COMMUNITY CARE [45012401],Government,Medicaid
florida community care healthykids,Commercial,Healthy Kids
florida community care mgmcd,Government,Medicaid
florida community care network s fl community care network medicaid fl,Government,Medicaid
florida community care southfloridacommunitycarehealthkids,Commercial,Healthy Kids
florida community care southfloridacommunitycarepsn,Government,Medicaid
FLORIDA COMPLETE CARE MEDICARE [45013901],Government,Medicare
florida fl medicaid,Government,Medicaid
florida fl medicaid non-par,Government,Medicaid
FLORIDA HEALTH PLAN [10026801],Government,Other Government
focus,Commercial,Focus
for health comm,Commercial,Other Commercial
for health commhmo,Commercial,Other Commercial
FRANTZ PEDIATRIC BEHAVIORAL HEALTH ENDOWMENT [50001903],Commercial,Frantz
FREEDOM FIRST MEDICAID HMO [25030501],Government,Medicaid
freedom health mcr adv node freedom health mcr adv,Government,Medicare
FREEDOM HLTH MEDICARE REPLACEMENT [25050501],Government,Medicare
FREEDOM LIFE INSURANCE [10032001],Commercial,Freedom
Freedom Optimum MCR ADV NODE Freedom Optimum MCR ADV,Government,Medicare
FRINGE BENEFITS GROUP [10029601],Commercial,Fringe
FSCJ STUDENT [50001301],Commercial,Other Commercial
fullyinsured,Unknown,Unknown
fusion payerfusionholdingsppo,Commercial,Other Commercial
galaxyhealthnetworkwc,Government,Worker's Comp
gatedcomm,Commercial,Other Commercial
Gatekeeper,Unknown,Unknown
gatekeeper aetna gatekeeper,Commercial,Aetna
GCU MEDICARE SUPPLEMENT [10038701],Government,Medicare
GEHA  [10003904],Commercial,GEHA
GEHA ASA [10003902],Commercial,GEHA
GEHA/UNITED HEALTH SHARED SERVICES [10003903],Commercial,GEHA
GEICO AUTO INSURANCE [75000201],Unknown,Unknown
general hospital westchester general hospital,Commercial,Other Commercial
geo group thegeogroup,Commercial,GEO Group
GEORGIA BETTER HEALTH PLAN [30000202],Commercial,Georgia Better Health
GERBER LIFE INSURANCE [10032101],Commercial,Gerber
GLOBAL CARE [10025701],Commercial,Global
GLOBAL EXCEL CONTRACTED [25024101],Commercial,Global
GlobalBenefitPlan,Commercial,Global
globalbenefitplan,Commercial,Global
globalbenefitplanappendix,Commercial,Global
GMP EMPLOYERS RETIREE TRUST [10034101],Commercial,GMP Union
GOLD KIDNEY HEALTH PLAN [45014301],Commercial,Gold Kidney
governmental preferredgovernmentalclaimsolution,Government,Other Government
GPM HEALTH AND LIFE INSURANCE [10037001],Commercial,GPM Health
GRAVIE [10000123],Commercial,Gravie
GREAT SOUTHERN MEDICARE SUPPLEMENT [10034801],Government,Medicare
GREENE BEHAVIORAL HEALTH ENDOWMENT [50001901],Commercial,Greene
group all plans,Unknown,Unknown
GROUP AND PENSION ADMINISTRATORS (GPA) [10031501],Unknown,Unknown
group covid19 hrsa uninsured,Self Pay,Self Pay
group geo group,Commercial,Geo
Group Health and All Other,Commercial,United Health Care
Group Health Plan UMR CHS Group Health Plan UMR,Commercial,United Health Care
group health plan umr chs group health plan umr,Commercial,United Health Care
group inc acngroupinc,Commercial,Other Commercial
GUARANTEE TRUST LIFE [10037801],Commercial,Guarantee
GVT,Government,Other Government
gvt,Unknown,Unknown
HALL-HALLIBURTON COLLABORATIVE CARE ENDOWMENT [50001909],Commercial,Halliburton
HAVEN HOSPICE [50001401],Commercial,Haven
haven mcr,Government,Medicare
HC HMO/PPO/POS/EPO,Commercial,Other Commercial
HC Medicaid HMO - Outpatient,Government,Medicaid
HC Medicare Advantage - Outpatient,Government,Medicare
HC PPO,Commercial,Other Commercial
health administration veterans health administration,Government,VA
health administrators floridahealthadministratorsppo,Commercial,Florida Health Care Plan
health aetna,Commercial,Aetna
health aetna better health,Commercial,Aetna
health aetna intl passport,Commercial,Aetna
health aetna medicare,Government,Medicare
health aetna nab/first health,Commercial,Aetna
health aetna work comp fl,Government,Worker's Comp
health aetna workers comp,Government,Worker's Comp
health all plans,Commercial,Other Commercial
health alliance clear health alliance,Commercial,Clear Health Alliance
Health Alliance Medicaid HMO,Government,Medicaid
health alliance medicaid hmo,Government,Medicaid
HEALTH AMBETTER MARKETPLACE Sunshine State Health Plan Commercial Exchange,Commercial,Ambetter
health ambetter marketplace sunshine state health plan commercial exchange,Commercial,Ambetter
Health and Wellness HMO,Commercial,Health and Wellness
health associates mental health associates,Commercial,Other Commercial
health behavioralhealth,Commercial,Other Commercial
health bright health,Commercial,Bright
health care mcr,Government,Medicare
health care plan comm,Commercial,Other Commercial
health care plan fhcp,Commercial,Florida Health Care Plan
health care plan fhcp medicare,Government,Medicare
health care plan florida health care plan commercial,Commercial,Florida Health Care Plan
health care plan florida health care plan medicare,Government,Medicare
Health Care Plan MCR,Government,Medicare
health care plan mcr,Government,Medicare
health choice prestige health choice,Commercial,Prestige
health choice prestige kids medicaid fl,Government,Medicaid
health choice prestige medicaid fl,Government,Medicaid
health comm,Commercial,Other Commercial
Health Commercial PPO,Commercial,Other Commercial
health commercial ppo,Commercial,Other Commercial
HEALTH COMP [10036301],Commercial,TPA
health contigohealthwcfkathreeriverswc,Government,Worker's Comp
health devoted health,Commercial,Devoted
health devoted health medicare hmo,Government,Medicare
health dimension,Commercial,Dimension
health dimension international,Commercial,Dimension
health dimension plus,Commercial,Dimension
health dimensionhealthppo,Commercial,Dimension
health dimensionhealthppoclassa,Commercial,Dimension
health dimensionhealthppoclassb,Commercial,Dimension
health dimensionhealthwcppoclassa,Government,Worker's Comp
health first health,Commercial,Blue Cross Blue Shield
health group rockportwc,Government,Worker's Comp
health hix,Commercial,Other Commercial
health imagine health,Commercial,Imagine Health
health imaginehealth,Commercial,Imagine Health
health inc corizon health inc,Commercial,Corizon
health inc leon health inc,Commercial,Leon
Health Integral Health Medicaid FL,Government,Medicaid
health integral health medicaid fl,Government,Medicaid
Health IP,Commercial,Other Commercial
health magellan medicaid fl,Government,Medicaid
health management commercial bright health management commercial,Commercial,Bright
health management medicare bright health management medicare,Government,Medicare
health mcd,Government,Medicaid
health mcr,Government,Medicare
health medicaid fl freedom health medicaid fl,Government,Medicaid
HEALTH MEDICAID FL SUNSHINE HEALTH MEDICAID FL,Government,Medicaid
health medicaid fl sunshine health medicaid fl,Government,Medicaid
Health Medicaid HMO,Government,Medicaid
health medicaid hmo,Government,Medicaid
health medicare bright health medicare,Government,Medicare
Health Medicare HMO,Government,Medicare
health medicare hmo,Government,Medicare
health medicare hmo freedom health medicare hmo,Government,Medicare
health medicare hmo longevity health medicare hmo,Government,Medicare
health mgmcd,Government,Medicaid
health mgmcr,Government,Medicare
HEALTH NET [10000938],Commercial,Health Net
health network comm,Commercial,Health Net
health network first health,Commercial,Health Net
health nfd comm,Commercial,Other Commercial
health node ultimate health mcr adv,Government,Medicare
Health OP,Commercial,Other Commercial
Health Options,Commercial,Other Commercial
health options beaconhealthoptionsbehavioralcommercial,Commercial,Beacon
health options beaconhealthoptionsmgdmcaid,Government,Medicaid
health options beaconhealthoptionsmgdmcare,Government,Medicare
health options beaconhealthstrategies,Commercial,Beacon
health options beaconhealthstrategiesmgdmcaid,Government,Medicaid
health options beaconhealthstrategiesmgdmcare,Government,Medicare
health options comm,Commercial,Other Commercial
health options mcr,Government,Medicare
health options mcr mcr,Government,Medicare
Health Partners Community Health Partners,Commercial,Other Commercial
health partners mcd,Government,Medicaid
health plan avmed,Commercial,Avmed
HEALTH PLAN CAPITAL HEALTH PLAN MEDICARE (228% POM),Government,Medicare
health plan comm,Commercial,Other Commercial
health plan devotedhealthmgdmcare,Government,Medicare
health plan hix,Commercial,Hix
health plan hmo,Commercial,Other Commercial
health plan integral health medicaid fl,Government,Medicaid
health plan longevity health plan,Commercial,Longevity
health plan longevityhealthplan,Commercial,Longevity
health plan mcd,Government,Medicaid
Health Plan MCR,Government,Medicare
health plan mcr,Government,Medicare
health plan mcrhmo,Government,Medicare
HEALTH PLAN MEDICARE ADVANTAGE (100% POM with U/L),Government,Medicare
health plan medicare hmo,Government,Medicare
Health Plan Medicare HMO - Outpatient,Government,Medicare
health plan medicare hmo - outpatient,Government,Medicare
health plan solishealthplanmgdmcare,Government,Medicare
health plan sunshine health plan medicaid,Government,Medicaid
health plan ultimate health plan,Commercial,Ultimate
health plans healthsun health plans,Commercial,Healthsun
health plans leon health plans,Commercial,Leon
health plans mcr,Government,Medicare
health plans medicare solis health plans medicare,Government,Medicare
Health PPO,Commercial,Other Commercial
health ppo,Commercial,Other Commercial
health ppo dimension health ppo,Commercial,Dimension
health ppo prime health ppo,Commercial,Prime
Health Prestige Medicaid FL,Government,Medicaid
health prestige medicaid fl,Government,Medicaid
health services inc prime health,Commercial,Prime
health services inc prison health services,Commercial,GEO Group
health services prime health,Commercial,Prime
health services primehealthservicesmgdmcare,Government,Medicare
health services primehealthserviceswc,Government,Worker's Comp
Health Sheriff COMM,Commercial,Sheriff
health sheriff comm,Commercial,Sheriff
Health Sheriff WORKERSCOMP,Government,Worker's Comp
health sheriff workerscomp,Government,Worker's Comp
health sherriff comm,Commercial,Sheriff
health solis health medicare hmo,Government,Medicare
health solutions mcd,Government,Medicaid
health strategies comm,Commercial,Other Commercial
health strategies commercial beacon health strategies commercial,Commercial,Beacon
health strategies mcd,Government,Medicaid
health strategies mcr,Government,Medicare
health strategies medicaid beacon health strategies medicaid,Government,Medicaid
health strategies medicare beacon health strategies medicare,Government,Medicare
Health WC,Government,Worker's Comp
health wc,Government,Worker's Comp
health wc dimension health wc,Government,Worker's Comp
Health Work Comp FL Prime Health Work Comp FL,Government,Worker's Comp
health work comp fl prime health work comp fl,Government,Worker's Comp
health workerscomp,Government,Worker's Comp
health yescare,Commercial,Yes Care
health_kids,Commercial,Health Kids
health_options,Commercial,Other Commercial
healthcare alliance fed,Government,Other Government
healthcare comm,Commercial,Other Commercial
healthcare corporation/hospice ppo vitas healthcare corporation/hospice ppo,Commercial,Vitas
healthcare corvel healthcare,Commercial,Corvel
healthcare direct healthcare,Commercial,Direct
healthcare doctors healthcare medicare hmo,Government,Medicare
healthcare doctorshealthcaremgdmcare,Government,Medicare
healthcare evolutions encounter ppo,Commercial,Evolutions
healthcare evolutions managed care ppo,Commercial,Evolutions
healthcare evolutions traditional ppo,Commercial,Evolutions
healthcare group workerscomp,Government,Worker's Comp
healthcare hospice corporation of fl vitas healthcare hospice corporation of fl,Commercial,Vitas
healthcare hospice vitas healthcare hospice,Commercial,Vitas
healthcare managedcareppo,Commercial,Other Commercial
healthcare mcr,Government,Medicare
healthcare mcrhmo,Government,Medicare
HealthCare Medicaid HMO,Government,Medicaid
healthcare medicaid hmo,Government,Medicaid
healthcare medicaid hmo simply healthcare medicaid hmo,Government,Medicaid
healthcare medicaid simply medicaid fl,Government,Medicaid
healthcare medicare advantage doctors healthcare medicare advantage,Government,Medicare
healthcare medicare hmo,Government,Medicare
Healthcare Medicare HMO - Outpatient,Government,Medicare
healthcare medicare hmo - outpatient,Government,Medicare
healthcare medicare simply healthcare medicare,Government,Medicare
healthcare mgmcd,Government,Medicaid
healthcare mgmcr,Government,Medicare
healthcare network starhealthcarenetwork,Commercial,Star
healthcare node simply health mcr adv,Government,Medicare
Healthcare NODE Simply MCR ADV,Government,Medicare
healthcare node simply mcr adv,Government,Medicare
healthcare of fl vitas,Commercial,Vitas
healthcare of florida positive healthcare of florida,Commercial,Other Commercial
healthcare of marion county dba kindred hospice odyssey healthcare of marion county dba kindred hospice,Commercial,Other Commercial
healthcare pffs,Commercial,Other Commercial
healthcare plan mcr,Government,Medicare
healthcare plan simply healthcare medicare,Government,Medicare
Healthcare Plan Simply Healthcare Plan,Commercial,Simply
healthcare plan simply medicaid,Government,Medicaid
Healthcare Plan Simply Medicaid FL,Commercial,Simply
healthcare plans florida healthcare plans bnn,Commercial,Other Commercial
healthcare plans mgmcd,Government,Medicaid
healthcare plans mgmcr,Government,Medicare
healthcare plus medicare florida healthcare plus medicare,Government,Medicare
healthcare positive healthcare medicaid,Government,Medicaid
healthcare positive healthcare medicaid fl,Government,Medicaid
healthcare ppo,Commercial,Other Commercial
healthcare simply medicaid fl,Government,Medicaid
healthcare solutions national healthcare solutions,Commercial,National
healthcare systems evolutions encounter ppo,Commercial,Evolutions
healthcare systems evolutions managed care ppo,Commercial,Evolutions
healthcare systems evolutions traditional ppo,Commercial,Evolutions
healthcare traditionalppo,Commercial,Other Commercial
healthease healthease medicaid fl,Government,Medicaid
healthfirst mcrhmo,Government,Medicare
healthfirst prominencehealthfirstmgdmcare,Government,Medicare
HEALTHGRAM [10031601],Commercial,Healthgram
HealthOptions,Commercial,Other Commercial
HEALTHSCOPE BENEFITS (SUDDATH ONLY) [10029801],Commercial,Healthscope
HEALTHSCOPE/AETNA [10000111],Commercial,Aetna
healthsmartmgdwc,Government,Worker's Comp
healthspring cigna healthspring,Commercial,Cigna
Healthspring MCR,Government,Medicare
healthspring mcr,Government,Medicare
healthspring mgmcr,Government,Medicare
healthsprings cigna healthsprings,Commercial,Cigna
healthsun medicare rad onc,Government,Medicare
healthy horizons medicaid humana healthy horizons medicaid,Government,Medicaid
Healthy Kids,Commercial,Healthy Kids
Healthy Kids Medicaid,Government,Medicaid
healthy_kids,Commercial,Healthy Kids
healthy_kids_medicaid,Government,Medicaid
healthykids,Commercial,Healthy Kids
"heath services, inc. prime heath services inc",Commercial,Prime
HIX,Commercial,HIX
hix,Commercial,HIX
hix network avmed hix network,Commercial,HIX
HIXOON,Commercial,HIX
hixoon,Commercial,HIX
"HMA,LLC [10035701]",Commercial,HMA
HMO,Commercial,United Health Care
hmo,Unknown,Unknown
hmo apr drg medicaid hmo apr drg,Government,Medicaid
hmo apr eapg medicaid hmo apr eapg,Government,Medicaid
HMO Employee Plan,Commercial,United Health Care
HMO Freedom-Classic/National EPO-PPO-POS/SmartNet,Commercial,United Health Care
HMO IP,Commercial,United Health Care
hmo medicare hmo,Government,Medicare
HMO OP,Commercial,United Health Care
HMO/Open Access,Commercial,United Health Care
HMO/PPO,Commercial,United Health Care
hmo/ppo,Unknown,Unknown
hmo/ppo cigna hmo/ppo,Commercial,Cigna
HMO/PPO/Exchange,Commercial,United Health Care
hmo_epo,Commercial,United Health Care
hmo_medicaid,Government,Medicaid
hmo_medicare,Government,Medicare
hmo_medicare_,Government,Medicare
hmo_pffs_medicare_,Government,Medicare
hmo_ppo,Commercial,United Health Care
hmo_ppo_medicare,Government,Medicare
hmo_ppo_medicare_,Government,Medicare
hmo_ppo_pffs_medicare,Government,Medicare
hmo_ppo_pffs_medicare_,Government,Medicare
hmo_triple_option,Commercial,United Health Care
HMOFI,Commercial,United Health Care
hmofi,Commercial,United Health Care
home health care dba opuscare of south florida comprehensive home health care dba opuscare of south florida,Commercial,Other Commercial
HOP ADMINISTRATION [10033001],Commercial,UPMC
HORIZONS MEDICARE ADVANTAGE (100% POM),Government,Medicare
hospice and pallative care of southern florida inc seasons hospice and pallative care of southern florida inc,Commercial,Other Commercial
hospice and palliative care of southern florida inc seasons hospice and palliative care of southern florida inc,Commercial,Other Commercial
hospice catholic hospice,Commercial,Other Commercial
hospice comm,Commercial,Other Commercial
hospice fed,Government,Other Government
hospice federal,Government,Other Government
hospice mcrmcd,Government,Other Government
hospice- miami dade llc bristol hospice- miami dade llc,Commercial,Bristol
hospice seasons hospice,Commercial,Other Commercial
hospice unit agreement vitas hospice unit agreement,Commercial,Vitas
hpi employee health plan pmc hpi employee health plans,Commercial,Other Commercial
hrsa uninsured covid19 hrsa uninsured,Self Pay,Self Pay
humana,Commercial,Humana
Humana ALL,Commercial,Humana
humana all,Commercial,Humana
humana choice care,Commercial,Humana
humana choice care ppo,Commercial,Humana
humana commercial,Commercial,Humana
HUMANA DUAL MEDICAID [45011302],Government,Medicaid
HUMANA HEALTHY HORIZONS [45011301],Commercial,Humana
HUMANA HMO,Commercial,Humana
HUMANA HMO/POS [10005201],Commercial,Humana
humana humx,Commercial,Humana
HUMANA MCD,Government,Medicaid
humana mcr adv node humana mcr adv,Government,Medicare
humana mcr hmo pos node humana mcr hmo pos,Government,Medicare
humana mcr ppo pffs node humana mcr ppo pffs,Government,Medicare
Humana Medicaid FL,Government,Medicaid
humana medicaid fl,Government,Medicaid
HUMANA MEDICAID HMO [25031801],Government,Medicaid
HUMANA MEDICARE,Government,Medicare
humana medicare,Government,Medicare
HUMANA MEDICARE DUAL [45012803],Government,Medicare
HUMANA MEDICARE HMO [45012802],Government,Medicare
HUMANA MEDICARE PPO [45012801],Government,Medicare
HUMANA MEDICARE SUPPLEMENT [10005205],Government,Medicare
HUMANA OPEN ACCESS EPO [10005204],Commercial,Humana
HUMANA PPO,Commercial,Humana
HUMANA PPO [10005202],Commercial,Humana
HUMANA PPO [25021501],Commercial,Humana
HUMANA_HMO,Commercial,Humana
humanabehavioralhealthcommercialhix,Commercial,Humana
humanacareplusmgdmcare,Government,Medicare
humanahmo,Commercial,Humana
humanahmomgdmcare,Government,Medicare
humanamgdmcaid,Government,Medicaid
humanamti,Commercial,Humana
humanamtimgdmcare,Government,Medicare
humanappo,Commercial,Humana
humanappomgdmcare,Government,Medicare
IAC LIFE [10036601],Commercial,IAC
IMAGINE360 (GPA) [10029701],Commercial,Imagine360
imaging streamlineimagingwc,Government,Worker's Comp
inc multiplan complementary,Commercial,Multiplan
inc naphcare inc,Commercial,Other Commercial
Indemnity,Commercial,Indemnity
indemnity,Commercial,Indemnity
INDEPENDENT HEALTH [10035801],Commercial,Independent Health
Individual Exchange,Commercial,Other Commercial
individual family hix cigna individual family hix,Commercial,Cigna
inn and club evolutions gasparilla inn club,Commercial,Evolutions
insurance auto insurance,Unknown,Unknown
insurance co clovermgdmcare,Government,Medicare
insurance of florida sdpbc athletic schoolinsuranceoffloridasdpbcathletic,Commercial,Other Commercial
insurances miscellaneous insurances,Unknown,Unknown
INTEGRATED BEHAVIORAL HEALTH [10028601],Commercial,IBH
International,Unknown,Unknown
international,Commercial,Other Commercial
INTERNATIONAL AETNA,Commercial,Aetna
international dimension international,Commercial,Dimension
international dimensions international,Commercial,Dimension
international ingleinternationalincdbaintrepid247,Commercial,Ingle International
international ppo aetna international ppo,Commercial,Aetna
INTERNATIONAL TRAVELERS INSURANCE [11000001],Commercial,International
international_ppo,Commercial,International
INTL UNITED HEALTH,Commercial,United Health Care
IP,Unknown,Unknown
Jackson First,Commercial,Jackson First
jacksonfirstnetworkoon,Commercial,Jackson First
JACKSONVILLE JAGUARS [50002301],Government,Other Government
JACKSONVILLE SHERIFF'S OFFICE [50002601],Government,Other Government
JHS Select/Select HMO,Commercial,JHS Select
jhsselect,Commercial,JHS Select
jhsselecthmo,Commercial,JHS Select
KAISER PERMANENTE [10029901],Commercial,Kaiser Permanente
KEMPER HEALTH [10036701],Commercial,Kemper Health
KEY BENEFIT ADMIN [25025501],Commercial,TPA
kidney mcr,Government,Medicare
kidney mgmcr,Government,Medicare
kidney of florida medicare,Government,Medicare
LEON HEALTH MC HMO,Government,Medicaid
LEON MED MC HMO NC,Government,Medicaid
LHS/MEDCOST [10034901],Commercial,TPA
LIBERTY MUTUAL [75001401],Commercial,Liberty Mutual
lifesource,Commercial,Lifesource
Lifesource-Transplant,Commercial,Lifesource
Lifetrac-Transplant,Commercial,Lifetrac
LIMITED BENEFIT GROUP SUPPLEMENTAL [10035901],Commercial,Other Commercial
LINE CONSTRUCTION BENEFIT [10038101],Commercial,Other Commercial
living systems medicare independent living systems medicare,Government,Medicare
llc equianllc,Commercial,Other Commercial
LocalPlus/Surefit,Commercial,Surefit
logov,Government,Other Government
LONGEVITY HEALTH PLAN [45014001],Commercial,Longevity
LUCENT 65085 AETNA [10038406],Commercial,Aetna
LUCENT- 65085 PHCS [10038402],Commercial,PHCS
LUCENT HEALTH [10030001],Commercial,Lucent
LUCENT-00590T [10038404],Commercial,Lucent
LUCENT-62308 [10038401],Commercial,Lucent
LUCENT-68011 [10038403],Commercial,Lucent
LUCENT-88056 [10038405],Commercial,Lucent
LUMICO LIFE INSURANCE [10039001],Commercial,Lumico
LUMINARE HEALTH [10038901],Commercial,Luminare
ma federal corrections gvt,Government,Other Government
MAGELLAN COMPLETE MEDICAID [45011401],Government,Medicaid
Magellan Medicaid FL,Government,Medicaid
magellan medicaid fl,Government,Medicaid
magellanbehavioral,Commercial,Magellan
magellanbehavioralmgdmcaid,Government,Medicaid
MAGNACARE [10031701],Commercial,Magnacare
mailhandlers,Government,Other Government
managed care work comp fl usa managed care work comp fl,Government,Worker's Comp
MANAGED MEDICAID,Government,Medicaid
Managed Medicaid,Government,Medicaid
managed medicaid molina managed medicaid,Government,Medicaid
managed networks choicemanagednetworkswcppo,Government,Worker's Comp
ManagedCareHMO,Commercial,Other Commercial
managedcarehmo,Commercial,Other Commercial
management barnettmanagementmvpwc,Government,Worker's Comp
management network care management network,Commercial,Other Commercial
management network cmninc,Commercial,Other Commercial
management systems nch careplus medicare,Government,Medicare
management systems nch careplus medicare rad onc,Government,Medicare
management systems nch coventry medicare,Government,Medicare
management systems nch coventry medicare rad onc,Government,Medicare
management systems nch humana medicare,Government,Medicare
management systems nch humana medicare rad onc,Government,Medicare
management systems nch simply medicare,Government,Medicare
management systems nch simply medicare rad onc,Government,Medicare
MANHATTAN LIFE INSURANCE [10036001],Commercial,Manhattan Life Insurance
manor care services of fl hcr manor care services of fl,Government,Medicare
manor care services of fl ii dba heartland hospice services hcr manor care services of fl ii dba heartland hospice services,Commercial,Other Commercial
Marketplace,Unknown,Unknown
marketplace program exchange molina marketplace program exchange,Commercial,Molina
MARPAI HEALTH [10037101],Commercial,Marpai
MBA TPA [10030101],Commercial,TPA
MBN,Commercial,Other Commercial
mbn,Commercial,Other Commercial
mcd,Government,Medicaid
MCR,Government,Medicare
mcr,Government,Medicare
MCR ADV NODE Aetna MCR ADV,Government,Medicare
MCR ADV NODE Humana MCR ADV,Government,Medicare
MCRHMO,Government,Medicare
mcrhmo,Government,Medicare
MCRPPO,Government,Medicare
mcrppo,Government,Medicare
MCS CLASSICARE [45014701],Government,Medicare
MDCPS Employee,Commercial,Other Commercial
mdcselect,Government,Medicaid
mdcselectoon,Government,Medicaid
MED MUTUAL PROTECT [10038001],Commercial,TPA
MEDICA [10030201],Commercial,TPA
MEDICA MCR HMO,Government,Medicare
MEDICA UHC [10030202],Commercial,United Health Care
Medicaid,Government,Medicaid
medicaid,Government,Medicaid
medicaid - $0 allowable,Government,Medicaid
medicaid amerigroup medicaid fl,Government,Medicaid
Medicaid FL Medicaid,Government,Medicaid
medicaid fl medicaid,Government,Medicaid
Medicaid FL Ped-I-Care Medicaid FL,Government,Medicaid
medicaid fl ped-i-care medicaid fl,Government,Medicaid
MEDICAID FLORIDA,Government,Medicaid
Medicaid HMO,Government,Medicaid
medicaid hmo,Government,Medicaid
medicaid hmo aetna better health medicaid hmo,Government,Medicaid
medicaid hmo non-contracted medicaid hmo,Government,Medicaid
medicaid hmo united healthcare medicaid hmo,Government,Medicaid
medicaid humana medicaid,Government,Medicaid
medicaid humana medicaid fl,Government,Medicaid
Medicaid Non Par FL Medicaid Non Par,Government,Medicaid
Medicaid Non Par FL Medicaid Non-Par,Government,Medicaid
medicaid non par fl medicaid non-par,Government,Medicaid
medicaid non-par fl medicaid non-par,Government,Medicaid
MEDICAID OF FLORIDA [30000101],Government,Medicaid
MEDICAID OF FLORIDA ALTERNATE PLAN [30000401],Government,Medicaid
MEDICAID OF FLORIDA SHARE OF COST [30000102],Government,Medicaid
MEDICAID OF GEORGIA [30000201],Government,Medicaid
MEDICAID OUT OF STATE [30999901],Government,Medicaid
medicaid prestige medicaid fl,Government,Medicaid
medicaid sunshine medicaid,Government,Medicaid
medicaid united medicaid,Government,Medicaid
medicaid wellcare medicaid,Government,Medicaid
medicaid/cha simply medicaid/cha,Government,Medicaid
medicaid_behavioral_health,Government,Medicaid
medicaid_hmo,Government,Medicaid
medical center leon medical center,Commercial,Other Commercial
medical management choicemedicalmanagementwc,Government,Worker's Comp
medical management partners texas medical management partners,Commercial,Other Commercial
MEDICAL MUTUAL OF OHIO [10011401],Government,Other Government
medical orchidmedicalwcsunrisemedicalgroupmidtownimaging,Government,Worker's Comp
Medical Rental,Unknown,Unknown
medical service mcd,Government,Medicaid
Medical Services Medicaid Childrens Medical Services Medicaid,Government,Medicaid
Medical Services Medicaid FL Childrens Medical Services Medicaid FL,Government,Medicaid
Medical Services S FL Community Care Network Medicaid FL,Government,Medicaid
MEDICARE,Government,Medicare
Medicare,Government,Medicare
medicare,Government,Medicare
Medicare Advantage,Government,Medicare
Medicare Advantage - Outpatient,Government,Medicare
MEDICARE ADVANTAGE (100% POM with U/L),Government,Medicare
MEDICARE ADVANTAGE (100% POM),Government,Medicare
medicare advantage careplus medicare advantage,Government,Medicare
medicare advantage freedom medicare advantage,Government,Medicare
Medicare Advantage OON (MMG) - Outpatient,Government,Medicare
medicare advantage program molina medicare advantage program,Government,Medicare
Medicare Advantage/Commercial Exchange,Government,Medicare
medicare aetna medicare,Government,Medicare
medicare avmed medicare,Government,Medicare
medicare careplus humana medicare careplus,Government,Medicare
medicare choice mcrhmo,Government,Medicare
Medicare Complete,Government,Medicare
medicare fhcp medicare,Government,Medicare
medicare healthfirst medicare,Government,Medicare
Medicare HMO,Government,Medicare
medicare hmo,Government,Medicare
Medicare HMO - Outpatient,Government,Medicare
medicare hmo - outpatient,Government,Medicare
medicare hmo humana medicare hmo,Government,Medicare
medicare hmo non-contracted medicare hmo,Government,Medicare
medicare hmo wellcare/staywell medicare hmo,Government,Medicare
medicare humana medicare,Government,Medicare
medicare longevity medicare,Government,Medicare
medicare network avmed medicare network,Government,Medicare
MEDICARE NO CONTRACT,Government,Medicare
Medicare Non Par NODE Medicare Non Par,Government,Medicare
